Date,City,Highest AQI,Rounded AQI
2023-02-14,Brisbane,88.0,88
2023-02-14,Adelaide,22.44,22
2023-02-14,Hobart,11.88,12
2023-02-15,Sydney,19.8,20
2023-02-15,Perth,7.880597014925373,8
2023-02-15,Newcastle,29.040000000000003,29
2023-02-15,Melbourne,25.08,25
2023-02-15,Launceston,11.88,12
2023-02-15,Wollongong,21.12,21
2023-02-15,Darwin,19.25,19
2023-02-15,Canberra,25.08,25
2023-02-15,Brisbane,83.6,84
2023-02-15,Adelaide,17.16,17
2023-02-15,Hobart,11.88,12
2023-02-16,Wollongong,26.4,26
2023-02-16,Sydney,17.16,17
2023-02-16,Perth,7.880597014925373,8
2023-02-16,Newcastle,26.4,26
2023-02-16,Melbourne,33.0,33
2023-02-16,Launceston,11.88,12
2023-02-16,Darwin,19.8,20
2023-02-16,Canberra,35.64,36
2023-02-16,Brisbane,82.86666666666667,83
2023-02-16,Adelaide,22.44,22
2023-02-16,Hobart,11.88,12
2023-02-17,Melbourne,43.56,44
2023-02-17,Sydney,17.16,17
2023-02-17,Perth,7.92,8
2023-02-17,Newcastle,23.76,24
2023-02-17,Launceston,22.44,22
2023-02-17,Wollongong,17.16,17
2023-02-17,Darwin,22.44,22
2023-02-17,Adelaide,27.72,28
2023-02-17,Hobart,17.16,17
2023-02-17,Canberra,48.84,49
2023-02-17,Brisbane,82.86666666666667,83
2023-02-18,Wollongong,27.72,28
2023-02-18,Sydney,22.44,22
2023-02-18,Perth,9.850746268656716,10
2023-02-18,Newcastle,30.360000000000003,30
2023-02-18,Melbourne,22.44,22
2023-02-18,Darwin,19.8,20
2023-02-18,Canberra,54.120000000000005,54
2023-02-18,Brisbane,82.86666666666667,83
2023-02-18,Adelaide,22.44,22
2023-02-18,Hobart,11.88,12
2023-02-18,Launceston,17.16,17
2023-02-19,Melbourne,25.08,25
2023-02-19,Wollongong,26.4,26
2023-02-19,Sydney,33.0,33
2023-02-19,Perth,10.56,11
2023-02-19,Newcastle,36.96,37
2023-02-19,Launceston,11.88,12
2023-02-19,Darwin,19.25,19
2023-02-19,Canberra,39.6,40
2023-02-19,Brisbane,79.2,79
2023-02-19,Adelaide,19.8,20
2023-02-19,Hobart,6.6000000000000005,7
2023-02-20,Wollongong,26.4,26
2023-02-20,Sydney,26.4,26
2023-02-20,Perth,11.88,12
2023-02-20,Newcastle,21.12,21
2023-02-20,Melbourne,40.92,41
2023-02-20,Launceston,11.88,12
2023-02-20,Darwin,19.8,20
2023-02-20,Canberra,43.56,44
2023-02-20,Brisbane,79.93333333333334,80
2023-02-20,Adelaide,17.16,17
2023-02-20,Hobart,11.88,12
2023-02-21,Melbourne,33.0,33
2023-02-21,Sydney,22.44,22
2023-02-21,Perth,14.52,15
2023-02-21,Newcastle,25.08,25
2023-02-21,Launceston,6.6000000000000005,7
2023-02-21,Wollongong,30.360000000000003,30
2023-02-21,Darwin,14.3,14
2023-02-21,Canberra,54.120000000000005,54
2023-02-21,Brisbane,80.66666666666667,81
