Date,Country,City,Pollutant,count,min,max,median,variance
31/12/2022,AU,Sydney,o3,127,0.8,17.6,10.4,213.98
31/12/2022,AU,Sydney,pm10,141,2,62,11,565.5
31/12/2022,AU,Sydney,pm2.5,133,3,67,15,1089.55
31/12/2022,AU,Wollongong,co,3,1.2,1.2,1.2,0
31/12/2022,AU,Wollongong,o3,45,0.8,16.8,11.2,197.54
31/12/2022,AU,Wollongong,pm10,48,7,36,17,423.39
31/12/2022,AU,Wollongong,pm2.5,43,2,59,17,1992.55
1/1/2023,AU,Brisbane,no2,94,0.5,5.5,1.9,14.79
1/1/2023,AU,Brisbane,o3,69,0.5,8.6,5.3,43.53
1/1/2023,AU,Brisbane,pm10,215,2,28,15,320.72
1/1/2023,AU,Brisbane,pm2.5,216,2,58,26,1523.74
1/1/2023,AU,Brisbane,so2,4,0.6,0.6,0.6,0
1/1/2023,AU,Canberra,co,33,0.2,8.4,7.9,149.57
1/1/2023,AU,Canberra,no2,8,0.5,1,0.5,0.31
1/1/2023,AU,Canberra,o3,66,4.1,13.5,7.4,49.84
1/1/2023,AU,Canberra,pm10,68,1,20,7,155.65
1/1/2023,AU,Canberra,pm2.5,70,2,41,17,1074.76
1/1/2023,AU,Darwin,co,68,1.6,6.9,4.2,39.93
1/1/2023,AU,Darwin,no2,69,0.1,1,0.3,0.62
1/1/2023,AU,Darwin,o3,72,6.5,8.9,7.6,3.26
1/1/2023,AU,Darwin,pm10,72,2,48,25,898.24
1/1/2023,AU,Darwin,pm2.5,72,2,51,29,1517.23
1/1/2023,AU,Darwin,so2,53,0.1,0.9,0.1,1.18
1/1/2023,AU,Hobart,pm10,68,2,10,5,31.08
1/1/2023,AU,Hobart,pm2.5,41,5,21,9,137.76
1/1/2023,AU,Launceston,pm10,119,1,12,6,51.47
1/1/2023,AU,Launceston,pm2.5,73,5,17,13,155.74
1/1/2023,AU,Melbourne,co,91,1.3,3.6,2.2,4.02
1/1/2023,AU,Melbourne,no2,83,1,9.3,4.7,52.61
1/1/2023,AU,Melbourne,o3,92,4,35.2,23.3,1067.3
1/1/2023,AU,Melbourne,pm10,117,4,53,13,389.07
1/1/2023,AU,Melbourne,pm2.5,161,1,151,35,2900.26
1/1/2023,AU,Melbourne,so2,92,0.1,1.1,0.6,0.95
1/1/2023,AU,Newcastle,no2,47,1,8.4,1.9,37.25
1/1/2023,AU,Newcastle,pm10,143,4,52,18,996.44
1/1/2023,AU,Newcastle,pm2.5,138,1,58,18,1358.2
1/1/2023,AU,Newcastle,so2,20,1.5,12.9,1.5,97.08
1/1/2023,AU,Perth,no2,6,1.2,2.3,2.3,2.02
1/1/2023,AU,Perth,o3,69,11,30,18,200.29
1/1/2023,AU,Perth,pm10,92,2,18,7,120.84
1/1/2023,AU,Perth,pm2.5,86,2,19,6,269.93
1/1/2023,AU,Sydney,co,6,1.2,2.3,1.2,3.63
1/1/2023,AU,Sydney,no2,63,1,8.4,2.8,34.4
1/1/2023,AU,Sydney,o3,134,2.4,15.2,11.2,113.86
1/1/2023,AU,Sydney,pm10,144,3,84,14,710.79
1/1/2023,AU,Sydney,pm2.5,137,1,133,19,2565.95
1/1/2023,AU,Sydney,so2,6,1.5,1.5,1.5,0
1/1/2023,AU,Wollongong,o3,45,4,17.6,11.2,93.55
1/1/2023,AU,Wollongong,pm10,48,9,50,19,569.25
1/1/2023,AU,Wollongong,pm2.5,48,1,56,20,1351.63
2/1/2023,AU,Brisbane,no2,103,0.5,4.6,1.9,11.4
2/1/2023,AU,Brisbane,o3,63,1.3,10.6,4.9,66.2
2/1/2023,AU,Brisbane,pm10,214,2,26,14,215.62
2/1/2023,AU,Brisbane,pm2.5,214,3,37,25,958.98
2/1/2023,AU,Brisbane,so2,14,0.6,1.1,0.6,0.33
2/1/2023,AU,Canberra,co,42,0.2,8.9,8.1,158.68
2/1/2023,AU,Canberra,no2,13,0.5,3.7,1,9.06
2/1/2023,AU,Canberra,o3,62,3.3,13.5,9,58.5
2/1/2023,AU,Canberra,pm10,72,2,20,10,130.42
2/1/2023,AU,Canberra,pm2.5,72,4,52,23,1021.81
2/1/2023,AU,Darwin,co,72,1.8,7.3,4.5,45.76
2/1/2023,AU,Darwin,no2,71,0.1,1.1,0.4,0.68
2/1/2023,AU,Darwin,o3,72,6.5,9.7,7.9,6
2/1/2023,AU,Darwin,pm10,72,10,41,31,556.42
2/1/2023,AU,Darwin,pm2.5,72,7,48,34,934.26
2/1/2023,AU,Darwin,so2,52,0.1,0.9,0.1,1.22
2/1/2023,AU,Hobart,pm10,71,2,12,6,44.6
2/1/2023,AU,Hobart,pm2.5,43,5,21,13,167.8
2/1/2023,AU,Launceston,pm10,119,3,20,10,100.49
2/1/2023,AU,Launceston,pm2.5,90,9,34,21,349.84
2/1/2023,AU,Melbourne,co,88,1.5,2.8,2.3,1.03
2/1/2023,AU,Melbourne,no2,76,1,5.6,2.8,9.48
2/1/2023,AU,Melbourne,o3,92,10.4,32,22.4,389.4
2/1/2023,AU,Melbourne,pm10,115,2,77,14,1432.09
2/1/2023,AU,Melbourne,pm2.5,164,4,76,26,1534.43
2/1/2023,AU,Melbourne,so2,57,0.1,1.5,1,1.18
2/1/2023,AU,Newcastle,no2,43,1,10.2,1.9,69.21
2/1/2023,AU,Newcastle,pm10,144,3,81,20,1554.51
2/1/2023,AU,Newcastle,pm2.5,133,3,65,21,1443.46
2/1/2023,AU,Newcastle,so2,27,1.5,15.8,1.5,104.75
2/1/2023,AU,Perth,no2,6,1.2,7.8,2.3,61.31
2/1/2023,AU,Perth,o3,39,11,31,20,251.82
2/1/2023,AU,Perth,pm10,69,3,19,8,157.91
2/1/2023,AU,Perth,pm2.5,68,2,23,6,383.72
2/1/2023,AU,Sydney,co,11,1.2,2.3,1.2,2.64
2/1/2023,AU,Sydney,no2,68,1,7.5,1.9,19.71
2/1/2023,AU,Sydney,o3,133,0.8,25.6,11.2,242.83
2/1/2023,AU,Sydney,pm10,144,5,24,14,193.29
2/1/2023,AU,Sydney,pm2.5,140,2,49,16,787.11
2/1/2023,AU,Sydney,so2,12,1.5,2.9,1.5,1.63
2/1/2023,AU,Wollongong,co,13,1.2,2.3,2.3,2.79
2/1/2023,AU,Wollongong,no2,9,1,2.8,1,4.28
2/1/2023,AU,Wollongong,o3,46,4.8,24.1,12.1,224.89
2/1/2023,AU,Wollongong,pm10,48,11,54,18,774.57
2/1/2023,AU,Wollongong,pm2.5,48,1,55,18,1912.83
2/1/2023,AU,Wollongong,so2,2,1.5,1.5,1.5,0
3/1/2023,AU,Adelaide,co,14,1.2,1.6,1.4,0.15
3/1/2023,AU,Adelaide,no2,29,0.5,8.3,1.4,45.45
3/1/2023,AU,Adelaide,o3,42,4.1,8.2,7,8.52
3/1/2023,AU,Adelaide,pm10,66,5,20,11,110.31
3/1/2023,AU,Adelaide,pm2.5,48,5,38,17,593.08
3/1/2023,AU,Adelaide,so2,3,0.6,0.6,0.6,0
3/1/2023,AU,Brisbane,no2,123,0.5,7.8,2.8,20.29
