Date,Country,City,Pollutant,count,min,max,median,variance,AQI,Rounded AQI
2022-12-30,AU,Perth,o3,69,3.0,59.0,19.0,1664.08,9.35820895522388,9
2022-12-30,AU,Perth,pm10,92,5.0,41.0,11.0,190.12,7.260000000000001,7
2022-12-30,AU,Perth,pm2.5,89,4.0,24.0,9.0,341.13,11.88,12
2022-12-30,AU,Sydney,co,8,1.2,2.3,2.3,2.59,12.649999999999999,13
2022-12-30,AU,Sydney,no2,65,1.0,13.0,2.8,68.54,1.1549999999999998,1
2022-12-30,AU,Sydney,o3,133,0.8,14.5,9.6,95.4,4.728358208955224,5
2022-12-30,AU,Sydney,pm10,144,1.0,26.0,14.0,200.99,9.24,9
2022-12-30,AU,Sydney,pm2.5,137,1.0,60.0,16.0,900.63,21.12,21
2022-12-30,AU,Sydney,so2,7,1.5,1.5,1.5,0.0,0.3721804511278195,0
2022-12-30,AU,Wollongong,co,4,2.3,3.4,2.3,3.03,12.649999999999999,13
2022-12-30,AU,Wollongong,no2,23,1.0,6.5,2.8,21.45,1.1549999999999998,1
2022-12-30,AU,Wollongong,o3,41,0.8,12.1,8.8,75.03,4.334328358208955,4
2022-12-30,AU,Wollongong,pm10,48,5.0,27.0,11.0,470.35,7.260000000000001,7
2022-12-30,AU,Wollongong,pm2.5,44,1.0,60.0,12.0,1602.13,15.84,16
2022-12-30,AU,Wollongong,so2,2,1.5,2.9,1.5,9.8,0.3721804511278195,0
2022-12-31,AU,Adelaide,co,16,1.6,2.6,1.9,0.88,10.45,10
2022-12-31,AU,Adelaide,no2,48,0.5,5.1,1.4,15.21,0.5774999999999999,1
2022-12-31,AU,Adelaide,o3,43,3.7,10.6,6.5,36.45,3.201492537313433,3
2022-12-31,AU,Adelaide,pm10,78,7.0,29.0,13.0,243.83,8.58,9
2022-12-31,AU,Adelaide,pm2.5,63,5.0,42.0,25.0,933.46,33.0,33
2022-12-31,AU,Adelaide,so2,10,0.6,1.6,1.1,1.0,0.2729323308270677,0
2022-12-31,AU,Brisbane,no2,97,0.5,4.6,1.4,10.29,0.5774999999999999,1
2022-12-31,AU,Brisbane,o3,70,2.1,8.6,5.7,30.14,2.807462686567164,3
2022-12-31,AU,Brisbane,pm10,215,3.0,30.0,18.0,475.25,11.88,12
2022-12-31,AU,Brisbane,pm2.5,215,2.0,50.0,30.0,1692.39,39.6,40
2022-12-31,AU,Brisbane,so2,23,0.6,1.6,0.6,1.32,0.1488721804511278,0
2022-12-31,AU,Canberra,co,23,0.1,8.1,7.7,149.63,51.7,52
